"Tanggal Transaksi","Tanggal Posting","Tanggal Valuta","Kode Cabang","Kode Transaksi","Nomor Rekening","Nomor Referensi","Currency","Nilai Transaksi","Debet Credit","Deskripsi Transaksi","Nomor Referensi User","Openning Balance","Closing Balance"
"20210719 010642","20210719","20210719","303","2654:FTD","003546499892    ","3955202107190103480004910915            ","360","282385257","C","7173050900060026","8a42bdb27aafc76f017abac6e068390e-1334   ","669374695.25","948129828.25"
"20210719 010740","20210719","20210719","303","2654:FTD","003546499892    ","3955202107190104470004911067            ","360","328105750","C","7173050900060025","8a42bdb27aafc76f017abac6e068390e-1790   ","669374695.25","948129828.25"
"20210719 010800","20210719","20210719","302","2654:FTD","003546499892    ","3955202107190105070004911120            ","360","231844050","C","7173050900060027","8a42bdb27aafc76f017abac6e068390e-1949   ","669374695.25","948129828.25"
"20210719 010830","20210719","20210719","304","2654:FTD","003546499892    ","3955202107190105370004911196            ","360","637697603","C","7173050900060047","8a42bdb27aafc76f017abac6e068390e-2177   ","669374695.25","948129828.25"
"20210719 010858","20210719","20210719","301","2654:FTD","003546499892    ","3955202107190106050004911264            ","360","270265865","C","7173050900060046","8a42bdb27aafc76f017abac6e068390e-2381   ","669374695.25","948129828.25"
"20210719 074443","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071907420800029091653          ","360","204000","C","7173043099010008_CCM","G4S001CDM2107190700001                  ","669374695.25","948129828.25"
"20210719 080541","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908030600029092521          ","360","107000","C","7173043099010070_CCM","G4S001CDM2107190800001                  ","669374695.25","948129828.25"
"20210719 080842","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908060600029092619          ","360","360000","C","7173043099010049_CCM","G4S001CDM2107190800002                  ","669374695.25","948129828.25"
"20210719 081747","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908151100029095441          ","360","1485000","C","7173043099010006_CCM","G4S001CDM2107190800003                  ","669374695.25","948129828.25"
"20210719 081749","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908151400029095461          ","360","890000","C","7173043099010015_CCM","G4S001CDM2107190800004                  ","669374695.25","948129828.25"
"20210719 083548","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908331200029103311          ","360","440000","C","7173043099010015_CCM","G4S001CDM2107190800011                  ","669374695.25","948129828.25"
"20210719 084259","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562881                 ","360","23111917","C","7173050800020036 SD21060413_SKN_AVAN SATRIA GRO_BCA","SKN0_20210719000739188583               ","669374695.25","948129828.25"
"20210719 084300","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562889                 ","360","45100","C","7173051000020010 pph sewa nyuper jan-mar 21_SKN_AVAN SATRIA GRO_BCA","SKN0_20210719000739168461               ","669374695.25","948129828.25"
"20210719 084301","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562895                 ","360","45100","C","7173051000020010 pph sewa stellaper jan-mar 21_SKN_AVAN SATRIA GRO_BCA","SKN0_20210719000739168460               ","669374695.25","948129828.25"
"20210719 084301","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562893                 ","360","45100","C","7173051000020010 pph sewa mituper jan-mar 21_SKN_AVAN SATRIA GRO_BCA","SKN0_20210719000739168464               ","669374695.25","948129828.25"
"20210719 084302","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562903                 ","360","165100","C","7173051000020010 pph sewa hitper jan-mar 21_SKN_AVAN SATRIA GRO_BCA","SKN0_20210719000739151414               ","669374695.25","948129828.25"
"20210719 084307","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562962                 ","360","1619433","C","7173050900020028 BSML Kejayan_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739161121               ","669374695.25","948129828.25"
"20210719 084307","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562960                 ","360","3093200","C","7173050900020037 BSML Kebonwaris_SKN_SIDOGIRI MITRA _MANDIRI","SKN0_20210719000739161109               ","669374695.25","948129828.25"
"20210719 084308","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562969                 ","360","1818828","C","7173050900020033 BSML Ngemplak_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739156439               ","669374695.25","948129828.25"
"20210719 084308","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562964                 ","360","3407459","C","7173050900020023 BSML Plumbon_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739161129               ","669374695.25","948129828.25"
"20210719 084308","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562965                 ","360","4657136","C","7173050900020011 BSML Nongkojajar_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739156377               ","669374695.25","948129828.25"
"20210719 084309","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562974                 ","360","3014561","C","7173050900020030 BSML Pandean_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739156453               ","669374695.25","948129828.25"
"20210719 084309","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562971                 ","360","2601599","C","7173051000020015 BSML Sebani_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739156441               ","669374695.25","948129828.25"
"20210719 084309","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562972                 ","360","2954930","C","7173050900020033 BSML Ngemplak_SKN_KOPONTREN SIDOG_MANDIRI","SKN0_20210719000739156452               ","669374695.25","948129828.25"
"20210719 084444","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071908420900029107289          ","360","1220000","C","7173043099010044_CCM","G4S001CDM2107190800013                  ","669374695.25","948129828.25"
"20210719 101034","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101563977                 ","360","5440321","C","RIA WIYUNG           717305080020030    PT GODREJ DIST_SKN_RACHMAT ITU ANU_MANDIRI","SKN0_20210719000739173744               ","669374695.25","948129828.25"
"20210719 101044","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562968                 ","360","1622632","C","7173050900020034 BSML Gambir Kuning_SKN_SIDOGIRI MITRA _MANDIRI","SKN0_20210719000739156419               ","669374695.25","948129828.25"
"20210719 101044","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101562976                 ","360","714626","C","7173050900020046 BSML Warungdowo_SKN_SIDOGIRI MITRA _MANDIRI","SKN0_20210719000739156502               ","669374695.25","948129828.25"
"20210719 101655","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290013                   ","360","1806513","C","BR : SET GT BEJI 16/07/2021","1                                       ","669374695.25","948129828.25"
"20210719 101732","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290014                   ","360","11758757","C","BR : SET COD BEJI 16/07/2021","1                                       ","669374695.25","948129828.25"
"20210719 101805","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290015                   ","360","493410","C","BR : SET CN BEJI 16/07/2021","1                                       ","669374695.25","948129828.25"
"20210719 101859","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290016                   ","360","1655993","C","BR : SET GT BEJI 17/07/2021","1                                       ","669374695.25","948129828.25"
"20210719 101934","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290017                   ","360","14775067","C","BR : SET COD BEJI 17/07/2021","1                                       ","669374695.25","948129828.25"
"20210719 104629","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660055                   ","360","19717000","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 104720","20210719","20210719","361","1008:MSD","003546499892    ","697112021071900660056                   ","360","10000","D","BY INTERCITY KLRING","","669374695.25","948129828.25"
"20210719 104842","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660057                   ","360","4029852","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 104926","20210719","20210719","361","1008:MSD","003546499892    ","697112021071900660058                   ","360","10000","D","BY INTERCITY KLIRING","","669374695.25","948129828.25"
"20210719 105053","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660059                   ","360","6616763","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 105122","20210719","20210719","361","1008:MSD","003546499892    ","697112021071900660060                   ","360","10000","D","BY INTERCITY KLIRING","","669374695.25","948129828.25"
